table_name,column_name,ordinal_position,data_type,udt_name,is_nullable,column_default
agent_actions,id,1,uuid,uuid,NO,gen_random_uuid()
agent_actions,tenant_id,2,uuid,uuid,NO,
agent_actions,agent_id,3,uuid,uuid,YES,
agent_actions,session_id,4,uuid,uuid,YES,
agent_actions,task_id,5,uuid,uuid,YES,
agent_actions,action_type,6,character varying,varchar,NO,
agent_actions,payload,7,jsonb,jsonb,NO,'{}'::jsonb
agent_actions,result,8,jsonb,jsonb,YES,
agent_actions,status,9,character varying,varchar,NO,'completed'::character varying
agent_actions,created_at,10,timestamp with time zone,timestamptz,NO,now()
agent_analytics,id,1,uuid,uuid,NO,gen_random_uuid()
agent_analytics,tenant_id,2,uuid,uuid,NO,
agent_analytics,agent_id,3,uuid,uuid,YES,
agent_analytics,metrics,4,jsonb,jsonb,NO,'{}'::jsonb
agent_analytics,measured_at,5,timestamp with time zone,timestamptz,NO,now()
agent_analytics,created_at,6,timestamp with time zone,timestamptz,NO,now()
agent_confidence_scores,id,1,uuid,uuid,NO,gen_random_uuid()
agent_confidence_scores,tenant_id,2,uuid,uuid,NO,
agent_confidence_scores,agent_id,3,uuid,uuid,NO,
agent_confidence_scores,message_id,4,uuid,uuid,YES,
agent_confidence_scores,score,5,numeric,numeric,NO,
agent_confidence_scores,reasoning,6,text,text,YES,
agent_confidence_scores,created_at,7,timestamp with time zone,timestamptz,NO,now()
agent_errors,id,1,uuid,uuid,NO,gen_random_uuid()
agent_errors,tenant_id,2,uuid,uuid,NO,
agent_errors,agent_id,3,uuid,uuid,YES,
agent_errors,error_type,4,character varying,varchar,YES,
agent_errors,message,5,text,text,NO,
agent_errors,stack_trace,6,text,text,YES,
agent_errors,context,7,jsonb,jsonb,NO,'{}'::jsonb
agent_errors,created_at,8,timestamp with time zone,timestamptz,NO,now()
agent_feedback,id,1,uuid,uuid,NO,gen_random_uuid()
agent_feedback,tenant_id,2,uuid,uuid,NO,
agent_feedback,agent_id,3,uuid,uuid,NO,
agent_feedback,message_id,4,uuid,uuid,YES,
agent_feedback,rating,5,integer,int4,YES,
agent_feedback,feedback,6,text,text,YES,
agent_feedback,created_by,7,uuid,uuid,YES,
agent_feedback,created_at,8,timestamp with time zone,timestamptz,NO,now()
agent_learning_events,id,1,uuid,uuid,NO,gen_random_uuid()
agent_learning_events,tenant_id,2,uuid,uuid,NO,
agent_learning_events,agent_id,3,uuid,uuid,YES,
agent_learning_events,event_type,4,character varying,varchar,NO,
agent_learning_events,payload,5,jsonb,jsonb,NO,'{}'::jsonb
agent_learning_events,created_at,6,timestamp with time zone,timestamptz,NO,now()
agent_memories,id,1,uuid,uuid,NO,gen_random_uuid()
agent_memories,tenant_id,2,uuid,uuid,NO,
agent_memories,agent_id,3,uuid,uuid,NO,
agent_memories,customer_id,4,uuid,uuid,YES,
agent_memories,memory_type,5,character varying,varchar,NO,
agent_memories,content,6,text,text,NO,
agent_memories,vector_id,7,uuid,uuid,YES,
agent_memories,metadata,8,jsonb,jsonb,NO,'{}'::jsonb
agent_memories,expires_at,9,timestamp with time zone,timestamptz,YES,
agent_memories,created_at,10,timestamp with time zone,timestamptz,NO,now()
agent_memories,updated_at,11,timestamp with time zone,timestamptz,NO,now()
agent_plans,id,1,uuid,uuid,NO,gen_random_uuid()
agent_plans,tenant_id,2,uuid,uuid,NO,
agent_plans,agent_id,3,uuid,uuid,NO,
agent_plans,task_id,4,uuid,uuid,YES,
agent_plans,plan,5,jsonb,jsonb,NO,'{}'::jsonb
agent_plans,status,6,character varying,varchar,NO,'draft'::character varying
agent_plans,created_at,7,timestamp with time zone,timestamptz,NO,now()
agent_plans,updated_at,8,timestamp with time zone,timestamptz,NO,now()
agent_prompt_versions,id,1,uuid,uuid,NO,gen_random_uuid()
agent_prompt_versions,tenant_id,2,uuid,uuid,NO,
agent_prompt_versions,agent_id,3,uuid,uuid,NO,
agent_prompt_versions,version,4,integer,int4,NO,
agent_prompt_versions,system_prompt,5,text,text,NO,
agent_prompt_versions,created_by,6,uuid,uuid,YES,
agent_prompt_versions,created_at,7,timestamp with time zone,timestamptz,NO,now()
agent_sessions,id,1,uuid,uuid,NO,gen_random_uuid()
agent_sessions,tenant_id,2,uuid,uuid,NO,
agent_sessions,agent_id,3,uuid,uuid,NO,
agent_sessions,conversation_id,4,uuid,uuid,YES,
agent_sessions,status,5,character varying,varchar,NO,'active'::character varying
agent_sessions,started_at,6,timestamp with time zone,timestamptz,NO,now()
agent_sessions,ended_at,7,timestamp with time zone,timestamptz,YES,
agent_sessions,metadata,8,jsonb,jsonb,NO,'{}'::jsonb
agent_tasks,id,1,uuid,uuid,NO,gen_random_uuid()
agent_tasks,tenant_id,2,uuid,uuid,NO,
agent_tasks,agent_id,3,uuid,uuid,YES,
agent_tasks,assigned_by,4,uuid,uuid,YES,
agent_tasks,task_type,5,character varying,varchar,NO,
agent_tasks,title,6,character varying,varchar,NO,
agent_tasks,payload,7,jsonb,jsonb,NO,'{}'::jsonb
agent_tasks,status,8,character varying,varchar,NO,'queued'::character varying
agent_tasks,due_at,9,timestamp with time zone,timestamptz,YES,
agent_tasks,created_at,10,timestamp with time zone,timestamptz,NO,now()
agent_tasks,updated_at,11,timestamp with time zone,timestamptz,NO,now()
agent_tool_calls,id,1,uuid,uuid,NO,gen_random_uuid()
agent_tool_calls,tenant_id,2,uuid,uuid,NO,
agent_tool_calls,agent_id,3,uuid,uuid,YES,
agent_tool_calls,tool_name,4,character varying,varchar,NO,
agent_tool_calls,request,5,jsonb,jsonb,NO,'{}'::jsonb
agent_tool_calls,response,6,jsonb,jsonb,YES,
agent_tool_calls,status,7,character varying,varchar,NO,'queued'::character varying
agent_tool_calls,error,8,text,text,YES,
agent_tool_calls,started_at,9,timestamp with time zone,timestamptz,YES,
agent_tool_calls,finished_at,10,timestamp with time zone,timestamptz,YES,
agent_tool_calls,created_at,11,timestamp with time zone,timestamptz,NO,now()
agent_versions,id,1,uuid,uuid,NO,gen_random_uuid()
agent_versions,tenant_id,2,uuid,uuid,NO,
agent_versions,agent_id,3,uuid,uuid,NO,
agent_versions,version,4,integer,int4,NO,
agent_versions,model,5,character varying,varchar,YES,
agent_versions,system_prompt,6,text,text,NO,
agent_versions,config,7,jsonb,jsonb,NO,'{}'::jsonb
agent_versions,created_by,8,uuid,uuid,YES,
agent_versions,created_at,9,timestamp with time zone,timestamptz,NO,now()
agents,id,1,uuid,uuid,NO,
agents,tenant_id,2,uuid,uuid,NO,
agents,name,3,character varying,varchar,NO,
agents,role,4,character varying,varchar,NO,
agents,system_prompt,5,character varying,varchar,NO,
agents,tools,6,ARRAY,_varchar,YES,
agents,created_at,7,timestamp without time zone,timestamp,YES,
agents,agent_type,8,character varying,varchar,YES,
agents,model,9,character varying,varchar,YES,
agents,is_active,10,boolean,bool,NO,true
agents,updated_at,11,timestamp with time zone,timestamptz,NO,now()
analytics_daily,id,1,uuid,uuid,NO,gen_random_uuid()
analytics_daily,tenant_id,2,uuid,uuid,NO,
analytics_daily,metric_date,3,date,date,NO,
analytics_daily,metric_name,4,character varying,varchar,NO,
analytics_daily,metric_value,5,numeric,numeric,NO,0
analytics_daily,dimensions,6,jsonb,jsonb,NO,'{}'::jsonb
analytics_daily,created_at,7,timestamp with time zone,timestamptz,NO,now()
analytics_monthly,id,1,uuid,uuid,NO,gen_random_uuid()
analytics_monthly,tenant_id,2,uuid,uuid,NO,
analytics_monthly,metric_month,3,date,date,NO,
analytics_monthly,metric_name,4,character varying,varchar,NO,
analytics_monthly,metric_value,5,numeric,numeric,NO,0
analytics_monthly,dimensions,6,jsonb,jsonb,NO,'{}'::jsonb
analytics_monthly,created_at,7,timestamp with time zone,timestamptz,NO,now()
api_request_logs,id,1,uuid,uuid,NO,gen_random_uuid()
api_request_logs,tenant_id,2,uuid,uuid,YES,
api_request_logs,user_id,3,uuid,uuid,YES,
api_request_logs,method,4,character varying,varchar,NO,
api_request_logs,path,5,text,text,NO,
api_request_logs,status_code,6,integer,int4,YES,
api_request_logs,request_body,7,jsonb,jsonb,YES,
api_request_logs,response_body,8,jsonb,jsonb,YES,
api_request_logs,ip_address,9,inet,inet,YES,
api_request_logs,user_agent,10,text,text,YES,
api_request_logs,duration_ms,11,integer,int4,YES,
api_request_logs,created_at,12,timestamp with time zone,timestamptz,NO,now()
audit_logs,id,1,uuid,uuid,NO,gen_random_uuid()
audit_logs,tenant_id,2,uuid,uuid,YES,
audit_logs,user_id,3,uuid,uuid,YES,
audit_logs,action,4,character varying,varchar,NO,
audit_logs,entity_type,5,character varying,varchar,YES,
audit_logs,entity_id,6,uuid,uuid,YES,
audit_logs,metadata,7,jsonb,jsonb,NO,'{}'::jsonb
audit_logs,created_at,8,timestamp with time zone,timestamptz,NO,now()
audit_logs,resource_type,9,character varying,varchar,YES,
audit_logs,resource_id,10,uuid,uuid,YES,
audit_logs,payload,11,jsonb,jsonb,NO,'{}'::jsonb
background_jobs,id,1,uuid,uuid,NO,gen_random_uuid()
background_jobs,tenant_id,2,uuid,uuid,YES,
background_jobs,job_type,3,character varying,varchar,NO,
background_jobs,status,4,character varying,varchar,NO,'queued'::character varying
background_jobs,payload,5,jsonb,jsonb,NO,'{}'::jsonb
background_jobs,retries,6,integer,int4,NO,0
background_jobs,error,7,text,text,YES,
background_jobs,scheduled_at,8,timestamp with time zone,timestamptz,YES,
background_jobs,started_at,9,timestamp with time zone,timestamptz,YES,
background_jobs,finished_at,10,timestamp with time zone,timestamptz,YES,
background_jobs,created_at,11,timestamp with time zone,timestamptz,NO,now()
background_jobs,updated_at,12,timestamp with time zone,timestamptz,NO,now()
billing_events,id,1,uuid,uuid,NO,gen_random_uuid()
billing_events,tenant_id,2,uuid,uuid,NO,
billing_events,event_type,3,character varying,varchar,NO,
billing_events,payload,4,jsonb,jsonb,NO,'{}'::jsonb
billing_events,created_at,5,timestamp with time zone,timestamptz,NO,now()
chunk_citations,id,1,uuid,uuid,NO,gen_random_uuid()
chunk_citations,tenant_id,2,uuid,uuid,NO,
chunk_citations,chunk_id,3,uuid,uuid,NO,
chunk_citations,message_id,4,uuid,uuid,YES,
chunk_citations,response_id,5,uuid,uuid,YES,
chunk_citations,quote,6,text,text,YES,
chunk_citations,confidence,7,numeric,numeric,YES,
chunk_citations,created_at,8,timestamp with time zone,timestamptz,NO,now()
chunk_embeddings,id,1,uuid,uuid,NO,gen_random_uuid()
chunk_embeddings,tenant_id,2,uuid,uuid,NO,
chunk_embeddings,chunk_id,3,uuid,uuid,NO,
chunk_embeddings,embedding_model,4,character varying,varchar,NO,
chunk_embeddings,vector_id,5,uuid,uuid,NO,
chunk_embeddings,created_at,6,timestamp with time zone,timestamptz,NO,now()
competitor_features,id,1,uuid,uuid,NO,gen_random_uuid()
competitor_features,tenant_id,2,uuid,uuid,NO,
competitor_features,competitor_id,3,uuid,uuid,NO,
competitor_features,feature_name,4,character varying,varchar,NO,
competitor_features,comparison,5,text,text,YES,
competitor_features,metadata,6,jsonb,jsonb,NO,'{}'::jsonb
competitor_features,created_at,7,timestamp with time zone,timestamptz,NO,now()
competitors,id,1,uuid,uuid,NO,gen_random_uuid()
competitors,tenant_id,2,uuid,uuid,NO,
competitors,name,3,character varying,varchar,NO,
competitors,website,4,text,text,YES,
competitors,summary,5,text,text,YES,
competitors,metadata,6,jsonb,jsonb,NO,'{}'::jsonb
competitors,created_at,7,timestamp with time zone,timestamptz,NO,now()
competitors,updated_at,8,timestamp with time zone,timestamptz,NO,now()
connector_logs,id,1,uuid,uuid,NO,gen_random_uuid()
connector_logs,tenant_id,2,uuid,uuid,NO,
connector_logs,integration_connection_id,3,uuid,uuid,YES,
connector_logs,level,4,character varying,varchar,NO,'info'::character varying
connector_logs,message,5,text,text,NO,
connector_logs,context,6,jsonb,jsonb,NO,'{}'::jsonb
connector_logs,created_at,7,timestamp with time zone,timestamptz,NO,now()
conversation_actions,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_actions,tenant_id,2,uuid,uuid,NO,
conversation_actions,conversation_id,3,uuid,uuid,NO,
conversation_actions,agent_id,4,uuid,uuid,YES,
conversation_actions,action_type,5,character varying,varchar,NO,
conversation_actions,payload,6,jsonb,jsonb,NO,'{}'::jsonb
conversation_actions,status,7,character varying,varchar,NO,'completed'::character varying
conversation_actions,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_analytics,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_analytics,tenant_id,2,uuid,uuid,NO,
conversation_analytics,conversation_id,3,uuid,uuid,YES,
conversation_analytics,metrics,4,jsonb,jsonb,NO,'{}'::jsonb
conversation_analytics,measured_at,5,timestamp with time zone,timestamptz,NO,now()
conversation_analytics,created_at,6,timestamp with time zone,timestamptz,NO,now()
conversation_buying_signals,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_buying_signals,tenant_id,2,uuid,uuid,NO,
conversation_buying_signals,conversation_id,3,uuid,uuid,NO,
conversation_buying_signals,signal_type,4,character varying,varchar,NO,
conversation_buying_signals,evidence,5,text,text,YES,
conversation_buying_signals,confidence,6,numeric,numeric,YES,
conversation_buying_signals,detected_at,7,timestamp with time zone,timestamptz,NO,now()
conversation_buying_signals,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_citations,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_citations,tenant_id,2,uuid,uuid,NO,
conversation_citations,message_id,3,uuid,uuid,NO,
conversation_citations,document_id,4,uuid,uuid,YES,
conversation_citations,chunk_id,5,uuid,uuid,YES,
conversation_citations,quote,6,text,text,YES,
conversation_citations,confidence,7,numeric,numeric,YES,
conversation_citations,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_emotions,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_emotions,tenant_id,2,uuid,uuid,NO,
conversation_emotions,conversation_id,3,uuid,uuid,NO,
conversation_emotions,message_id,4,uuid,uuid,YES,
conversation_emotions,emotion,5,character varying,varchar,NO,
conversation_emotions,score,6,numeric,numeric,YES,
conversation_emotions,detected_at,7,timestamp with time zone,timestamptz,NO,now()
conversation_emotions,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_entities,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_entities,tenant_id,2,uuid,uuid,NO,
conversation_entities,conversation_id,3,uuid,uuid,NO,
conversation_entities,entity_id,4,uuid,uuid,YES,
conversation_entities,entity_text,5,character varying,varchar,YES,
conversation_entities,entity_type,6,character varying,varchar,YES,
conversation_entities,confidence,7,numeric,numeric,YES,
conversation_entities,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_feedback,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_feedback,tenant_id,2,uuid,uuid,NO,
conversation_feedback,conversation_id,3,uuid,uuid,NO,
conversation_feedback,message_id,4,uuid,uuid,YES,
conversation_feedback,rating,5,integer,int4,YES,
conversation_feedback,feedback,6,text,text,YES,
conversation_feedback,feedback_type,7,character varying,varchar,YES,
conversation_feedback,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_intents,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_intents,tenant_id,2,uuid,uuid,NO,
conversation_intents,conversation_id,3,uuid,uuid,NO,
conversation_intents,intent,4,character varying,varchar,NO,
conversation_intents,confidence,5,numeric,numeric,YES,
conversation_intents,evidence,6,text,text,YES,
conversation_intents,detected_at,7,timestamp with time zone,timestamptz,NO,now()
conversation_intents,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_messages,id,1,uuid,uuid,NO,
conversation_messages,tenant_id,2,uuid,uuid,NO,
conversation_messages,conversation_id,3,uuid,uuid,NO,
conversation_messages,role,4,character varying,varchar,NO,
conversation_messages,content,5,text,text,NO,
conversation_messages,created_at,6,timestamp without time zone,timestamp,YES,
conversation_messages,sender_type,7,character varying,varchar,YES,
conversation_messages,sender_id,8,uuid,uuid,YES,
conversation_messages,message,9,text,text,YES,
conversation_messages,message_type,10,character varying,varchar,NO,'text'::character varying
conversation_messages,metadata,11,jsonb,jsonb,NO,'{}'::jsonb
conversation_metrics,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_metrics,tenant_id,2,uuid,uuid,NO,
conversation_metrics,conversation_id,3,uuid,uuid,NO,
conversation_metrics,response_time_seconds,4,numeric,numeric,YES,
conversation_metrics,resolution_time_seconds,5,numeric,numeric,YES,
conversation_metrics,message_count,6,integer,int4,NO,0
conversation_metrics,metadata,7,jsonb,jsonb,NO,'{}'::jsonb
conversation_metrics,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_objections,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_objections,tenant_id,2,uuid,uuid,NO,
conversation_objections,conversation_id,3,uuid,uuid,NO,
conversation_objections,objection_type,4,character varying,varchar,NO,
conversation_objections,evidence,5,text,text,YES,
conversation_objections,confidence,6,numeric,numeric,YES,
conversation_objections,detected_at,7,timestamp with time zone,timestamptz,NO,now()
conversation_objections,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_participants,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_participants,tenant_id,2,uuid,uuid,NO,
conversation_participants,conversation_id,3,uuid,uuid,NO,
conversation_participants,participant_type,4,character varying,varchar,NO,
conversation_participants,participant_id,5,uuid,uuid,YES,
conversation_participants,display_name,6,character varying,varchar,YES,
conversation_participants,joined_at,7,timestamp with time zone,timestamptz,NO,now()
conversation_participants,left_at,8,timestamp with time zone,timestamptz,YES,
conversation_sentiments,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_sentiments,tenant_id,2,uuid,uuid,NO,
conversation_sentiments,conversation_id,3,uuid,uuid,NO,
conversation_sentiments,message_id,4,uuid,uuid,YES,
conversation_sentiments,sentiment,5,character varying,varchar,NO,
conversation_sentiments,score,6,numeric,numeric,YES,
conversation_sentiments,detected_at,7,timestamp with time zone,timestamptz,NO,now()
conversation_sentiments,created_at,8,timestamp with time zone,timestamptz,NO,now()
conversation_summaries,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_summaries,tenant_id,2,uuid,uuid,NO,
conversation_summaries,conversation_id,3,uuid,uuid,NO,
conversation_summaries,summary_type,4,character varying,varchar,NO,'ai'::character varying
conversation_summaries,summary,5,text,text,NO,
conversation_summaries,created_by,6,uuid,uuid,YES,
conversation_summaries,created_at,7,timestamp with time zone,timestamptz,NO,now()
conversation_transcripts,id,1,uuid,uuid,NO,gen_random_uuid()
conversation_transcripts,tenant_id,2,uuid,uuid,NO,
conversation_transcripts,conversation_id,3,uuid,uuid,NO,
conversation_transcripts,transcript,4,text,text,NO,
conversation_transcripts,provider,5,character varying,varchar,YES,
conversation_transcripts,metadata,6,jsonb,jsonb,NO,'{}'::jsonb
conversation_transcripts,created_at,7,timestamp with time zone,timestamptz,NO,now()
conversations,id,1,uuid,uuid,NO,
conversations,tenant_id,2,uuid,uuid,NO,
conversations,agent_id,3,uuid,uuid,YES,
conversations,title,4,character varying,varchar,YES,
conversations,created_at,5,timestamp without time zone,timestamp,YES,
conversations,customer_id,6,uuid,uuid,YES,
conversations,lead_id,7,uuid,uuid,YES,
conversations,channel,8,character varying,varchar,YES,
conversations,status,9,character varying,varchar,NO,'open'::character varying
conversations,started_at,10,timestamp with time zone,timestamptz,YES,
conversations,ended_at,11,timestamp with time zone,timestamptz,YES,
conversations,updated_at,12,timestamp with time zone,timestamptz,NO,now()
cost_tracking,id,1,uuid,uuid,NO,gen_random_uuid()
cost_tracking,tenant_id,2,uuid,uuid,NO,
cost_tracking,model,3,character varying,varchar,YES,
cost_tracking,provider,4,character varying,varchar,YES,
cost_tracking,cost,5,numeric,numeric,NO,0
cost_tracking,currency,6,character varying,varchar,NO,'USD'::character varying
cost_tracking,metadata,7,jsonb,jsonb,NO,'{}'::jsonb
cost_tracking,created_at,8,timestamp with time zone,timestamptz,NO,now()
credit_transactions,id,1,uuid,uuid,NO,gen_random_uuid()
credit_transactions,tenant_id,2,uuid,uuid,NO,
credit_transactions,credit_id,3,uuid,uuid,YES,
credit_transactions,transaction_type,4,character varying,varchar,NO,
credit_transactions,amount,5,numeric,numeric,NO,
credit_transactions,balance_after,6,numeric,numeric,YES,
credit_transactions,metadata,7,jsonb,jsonb,NO,'{}'::jsonb
credit_transactions,created_at,8,timestamp with time zone,timestamptz,NO,now()
credits,id,1,uuid,uuid,NO,gen_random_uuid()
credits,tenant_id,2,uuid,uuid,NO,
credits,balance,3,numeric,numeric,NO,0
credits,currency,4,character varying,varchar,NO,'USD'::character varying
credits,updated_at,5,timestamp with time zone,timestamptz,NO,now()
credits,created_at,6,timestamp with time zone,timestamptz,NO,now()
customer_accounts,id,1,uuid,uuid,NO,gen_random_uuid()
customer_accounts,tenant_id,2,uuid,uuid,NO,
customer_accounts,parent_account_id,3,uuid,uuid,YES,
customer_accounts,name,4,character varying,varchar,NO,
customer_accounts,account_type,5,character varying,varchar,YES,
customer_accounts,metadata,6,jsonb,jsonb,NO,'{}'::jsonb
customer_accounts,created_at,7,timestamp with time zone,timestamptz,NO,now()
customer_accounts,updated_at,8,timestamp with time zone,timestamptz,NO,now()
customer_analytics,id,1,uuid,uuid,NO,gen_random_uuid()
customer_analytics,tenant_id,2,uuid,uuid,NO,
customer_analytics,customer_id,3,uuid,uuid,YES,
customer_analytics,metrics,4,jsonb,jsonb,NO,'{}'::jsonb
customer_analytics,measured_at,5,timestamp with time zone,timestamptz,NO,now()
customer_analytics,created_at,6,timestamp with time zone,timestamptz,NO,now()
customer_churn_scores,id,1,uuid,uuid,NO,gen_random_uuid()
customer_churn_scores,tenant_id,2,uuid,uuid,NO,
customer_churn_scores,customer_id,3,uuid,uuid,NO,
customer_churn_scores,probability,4,numeric,numeric,NO,
customer_churn_scores,risk_level,5,character varying,varchar,YES,
customer_churn_scores,factors,6,jsonb,jsonb,NO,'{}'::jsonb
customer_churn_scores,measured_at,7,timestamp with time zone,timestamptz,NO,now()
customer_churn_scores,created_at,8,timestamp with time zone,timestamptz,NO,now()
customer_contacts,id,1,uuid,uuid,NO,gen_random_uuid()
